ProbeID,kME
isogroupDN49817_c0_g1,1
isogroupDN49836_c0_g1,0
isogroupDN49843_c0_g1,0
isogroupDN49859_c0_g1,0
isogroupDN49949_c0_g1,0
isogroupDN50008_c0_g1,0
isogroupDN50085_c0_g1,0
isogroupDN50114_c0_g1,0
isogroupDN50114_c0_g2,0
isogroupDN50123_c0_g1,0
isogroupDN50126_c0_g1,0
isogroupDN50129_c0_g1,0
isogroupDN50152_c0_g1,0
isogroupDN50152_c0_g2,0
isogroupDN50167_c0_g1,0
isogroupDN50190_c0_g1,0
isogroupDN50236_c0_g1,1
isogroupDN50280_c0_g1,0
isogroupDN50324_c0_g1,0
isogroupDN50379_c0_g1,0
isogroupDN50379_c0_g2,0
isogroupDN50388_c0_g1,0
isogroupDN50392_c0_g1,1
isogroupDN50470_c0_g1,0
isogroupDN50589_c0_g1,0
isogroupDN50718_c0_g1,0
isogroupDN50783_c0_g1,0
isogroupDN50868_c0_g1,0
isogroupDN50871_c0_g1,0
isogroupDN50902_c1_g1,0
isogroupDN50961_c0_g1,0
isogroupDN50965_c0_g1,0
isogroupDN50965_c0_g2,0
isogroupDN51007_c0_g1,0
isogroupDN51039_c0_g1,0
isogroupDN51262_c0_g1,0
isogroupDN51288_c0_g1,0
isogroupDN51330_c0_g1,0
isogroupDN51378_c0_g1,0
isogroupDN51409_c0_g1,0
isogroupDN51524_c0_g1,0
isogroupDN51549_c0_g1,0
isogroupDN51589_c0_g1,0
isogroupDN51669_c0_g1,0
isogroupDN51669_c0_g2,0
isogroupDN51669_c0_g3,0
isogroupDN51733_c0_g1,0
isogroupDN51733_c0_g2,0
isogroupDN51757_c0_g1,0
isogroupDN51791_c0_g1,0
isogroupDN51839_c1_g1,1
isogroupDN51997_c0_g1,0
isogroupDN52009_c0_g1,0
isogroupDN52039_c0_g1,0
isogroupDN52044_c0_g1,1
isogroupDN52053_c2_g1,0
isogroupDN52177_c0_g1,0
isogroupDN52262_c1_g2,0
isogroupDN52299_c0_g1,0
isogroupDN52332_c0_g1,1
isogroupDN52403_c0_g1,0
isogroupDN52403_c0_g2,0
isogroupDN52497_c0_g1,0
isogroupDN52497_c0_g2,0
isogroupDN52529_c0_g1,0
isogroupDN52717_c1_g1,0
isogroupDN52719_c1_g1,0
isogroupDN52785_c0_g1,0
isogroupDN52785_c0_g2,0
isogroupDN52848_c0_g1,0
isogroupDN52923_c0_g1,0
isogroupDN52990_c0_g1,0
isogroupDN52990_c0_g2,0
isogroupDN53010_c1_g1,0
isogroupDN53026_c0_g1,0
isogroupDN53027_c0_g1,0
isogroupDN53073_c0_g1,0
isogroupDN53121_c0_g1,0
isogroupDN53525_c0_g1,0
isogroupDN53597_c3_g1,0
isogroupDN53667_c0_g1,0
isogroupDN53757_c0_g1,0
isogroupDN53869_c0_g1,0
isogroupDN53943_c0_g1,0
isogroupDN53950_c0_g1,0
isogroupDN53976_c1_g1,0
isogroupDN53981_c0_g1,0
isogroupDN53984_c0_g1,0
isogroupDN53997_c0_g2,1
isogroupDN54085_c0_g1,0
isogroupDN54221_c0_g1,0
isogroupDN54226_c1_g1,0
isogroupDN54328_c0_g1,0
isogroupDN54335_c1_g1,0
isogroupDN54347_c0_g1,0
isogroupDN54376_c0_g1,0
isogroupDN54412_c0_g1,0
isogroupDN54412_c1_g1,0
isogroupDN54480_c0_g1,0
isogroupDN54535_c0_g1,0
isogroupDN54600_c0_g1,0
isogroupDN54645_c0_g1,0
isogroupDN54754_c0_g1,0
isogroupDN54795_c2_g1,0
isogroupDN54821_c0_g1,0
